name,rows,wer,cer,top1_wer,top1_cer,oracle_wer,oracle_cer,path,best_params
A9_beam20_val_tuned_no_teacher,4000,,,,,,,outputs/flickr8k_val_tuned_postprocess_20260705/A9_val_tuned_beam20/metrics.json,
A9_beam30_val_tuned_no_teacher,4000,,,,,,,outputs/flickr8k_val_tuned_postprocess_20260705/A9_val_tuned_beam30/metrics.json,
FINAL_A1_beam20_val_tuned_post_rescore,4000,,,,,,,outputs/flickr8k_val_tuned_postprocess_20260705/rescore_beam20_val_tuned_extra_grid/metrics.json,
A1_beam30_val_tuned_post_rescore,4000,,,,,,,outputs/flickr8k_val_tuned_postprocess_20260705/rescore_beam30_val_tuned_extra_grid/metrics.json,
outputs/flickr8k_a9_candidate_rerank_20260703/eval_reranker_beam20_ridge/metrics.json,4000,,,,,,,outputs/flickr8k_a9_candidate_rerank_20260703/eval_reranker_beam20_ridge/metrics.json,"{""alpha"": 100.0}"
outputs/flickr8k_a9_candidate_rerank_20260703/eval_reranker_beam30_ridge/metrics.json,4000,,,,,,,outputs/flickr8k_a9_candidate_rerank_20260703/eval_reranker_beam30_ridge/metrics.json,"{""alpha"": 0.001}"
A9_beam20_mbr_clip_grid,4000,,,,,,,outputs/flickr8k_a9_candidate_rerank_20260703/test_beam20_mbr_clip_grid/metrics.json,
A9_beam30_mbr_clip_grid,4000,,,,,,,outputs/flickr8k_a9_candidate_rerank_20260703/test_beam30_mbr_clip_grid/metrics.json,
A0_no_image_whisper_normal_eval,,0.026322444194119405,0.01121932253092926,,,,,outputs/flickr8k_decoder_prompt_large_v3_eval/A0_whisper_baseline/metrics.json,
A1_blank_prefix_10ep_normal_eval,4000,0.023632727189130783,0.009856139709843491,,,,,outputs/flickr8k_decoder_prompt_large_v3_eval/A1_best_val/metrics.json,
A1_blank_prefix_20ep_normal_eval,4000,0.022782132922595923,0.009401745436148235,,,,,outputs/flickr8k_decoder_prompt_large_v3_eval/A1_20ep_best_val/metrics.json,
A2_clipseq_k16_10ep_normal_eval,4000,0.023770661394514815,0.0095657021328424,,,,,outputs/flickr8k_decoder_prompt_large_v3_eval/A2_best_val/metrics.json,
A2_clipseq_k16_20ep_normal_eval,4000,0.02301202326490264,0.00980461046231104,,,,,outputs/flickr8k_decoder_prompt_large_v3_eval/A2_20ep_best_val/metrics.json,
A3_clipseq_k32_10ep_normal_eval,4000,0.024575277592588336,0.01051196649662015,,,,,outputs/flickr8k_decoder_prompt_large_v3_eval/A3_10ep_best_val/metrics.json,
A3_clipseq_k32_20ep_normal_eval,4000,0.024483321455665646,0.010624393945781862,,,,,outputs/flickr8k_decoder_prompt_large_v3_eval/A3_20ep_best_val/metrics.json,
A4_clipseq_shuffle_rank_10ep_normal_eval,4000,0.024092507873744225,0.010123154901602559,,,,,outputs/flickr8k_decoder_prompt_large_v3_eval/A4_10ep_best_val/metrics.json,
A5_blip2_qformer_10ep_normal_eval,4000,0.023724683326053472,0.009851455232795087,,,,,outputs/flickr8k_decoder_prompt_large_v3_eval/A5_best_val/metrics.json,
A5_blip2_qformer_20ep_normal_eval,4000,0.024897124071817742,0.01113031746700957,,,,,outputs/flickr8k_decoder_prompt_large_v3_eval/A5_20ep_best_val/metrics.json,
A6_decoder_lora_10ep_normal_eval,4000,0.024897124071817742,0.012104688693077749,,,,,outputs/flickr8k_decoder_prompt_large_v3_eval/A6_best_val/metrics.json,
A7_A4_clip_rerank,,,,,,,,outputs/flickr8k_decoder_prompt_large_v3_eval/A7_from_A4_10_clip_rerank/metrics.json,
A12_true_semantics,4000,,,,,,,outputs/flickr8k_a12_a13_semantics_20260706/A12_true_bootstrap_beam20/metrics.json,
A12_shuffle_semantics,4000,,,,,,,outputs/flickr8k_a12_a13_semantics_20260706/A12_shuffle_bootstrap_beam20/metrics.json,
A12_disable_semantics,4000,,,,,,,outputs/flickr8k_a12_a13_semantics_20260706/A12_disable_bootstrap_beam20/metrics.json,
A13_conservative_true_semantics,4000,,,,,,,outputs/flickr8k_a12_a13_semantics_20260706/A13_true_semantic_conservative_beam20/metrics.json,
B2_full_union_normalized_grid,4000,,,,,,,outputs/flickr8k_b1_b2_union_normalized_20260708/B2_full_union_norm_grid/metrics.json,
B2_quick_existing_union_normalized_grid,4000,,,,,,,outputs/flickr8k_b1_b2_union_normalized_20260708/B2_quick_existing_union_norm_grid/metrics.json,
outputs/flickr8k_a9_stable_selection_20260706/A9_raw_bootstrap_stable_beam20/metrics.json,4000,,,,,,,outputs/flickr8k_a9_stable_selection_20260706/A9_raw_bootstrap_stable_beam20/metrics.json,
outputs/flickr8k_a9_stable_selection_20260706/A9_raw_bootstrap_stable_beam30/metrics.json,4000,,,,,,,outputs/flickr8k_a9_stable_selection_20260706/A9_raw_bootstrap_stable_beam30/metrics.json,
outputs/flickr8k_a9_stable_selection_20260706/dev_joint_raw_bootstrap_beam20/metrics.json,4000,,,,,,,outputs/flickr8k_a9_stable_selection_20260706/dev_joint_raw_bootstrap_beam20/metrics.json,
A9_bootstrap_stable_post_rescore_beam20,4000,,,,,,,outputs/flickr8k_a9_stable_selection_20260706/post_rescore_constrained_bootstrap_beam20/metrics.json,
A9_bootstrap_stable_post_rescore_beam30,4000,,,,,,,outputs/flickr8k_a9_stable_selection_20260706/post_rescore_constrained_bootstrap_beam30/metrics.json,
